actual_cost,date,items,quantity,row_id,row_name
2830.27,2021-02-01,52,2224.0,06N,NHS HERTS VALLEYS
2255.97,2021-02-01,49,1581.0,06Q,NHS MID ESSEX
4435.95,2021-02-01,81,3987.0,06T,NHS NORTH EAST ESSEX
1824.57,2021-02-01,37,1329.0,07G,NHS THURROCK
3532.31,2021-02-01,63,2490.0,07H,NHS WEST ESSEX
2717.14,2021-02-01,50,1568.0,07K,NHS WEST SUFFOLK
5120.65,2021-02-01,134,3244.0,09D,NHS BRIGHTON AND HOVE
5503.54,2021-02-01,84,3852.0,10Q,NHS OXFORDSHIRE
821.97,2021-02-01,19,441.0,10R,NHS PORTSMOUTH
14714.93,2021-02-01,251,11194.0,11J,NHS DORSET
5038.93,2021-02-01,110,4749.0,11M,NHS GLOUCESTERSHIRE
3504.67,2021-02-01,61,2290.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
2948.52,2021-02-01,46,1916.0,11X,NHS SOMERSET
11667.28,2021-02-01,264,7049.0,12F,NHS WIRRAL
2499.14,2021-02-01,62,1414.0,13T,NHS NEWCASTLE GATESHEAD
4197.47,2021-02-01,81,2661.0,14L,NHS MANCHESTER
3892.68,2021-02-01,73,2568.0,14Y,NHS BUCKINGHAMSHIRE
5154.88,2021-02-01,91,3056.0,15A,NHS BERKSHIRE WEST
6434.01,2021-02-01,114,4407.0,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
6788.81,2021-02-01,130,4068.0,15E,NHS BIRMINGHAM AND SOLIHULL
3446.97,2021-02-01,67,2634.0,15F,NHS LEEDS
11538.08,2021-02-01,210,8176.0,15M,NHS DERBY AND DERBYSHIRE
9763.8,2021-02-01,193,6677.0,15N,NHS DEVON
4205.32,2021-02-01,86,2485.0,16C,NHS TEES VALLEY
9440.74,2021-02-01,167,6236.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
14840.07,2021-02-01,303,11568.0,26A,NHS NORFOLK AND WAVENEY
8328.1,2021-02-01,168,5978.0,27D,NHS CHESHIRE
1672.44,2021-02-01,35,952.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
15919.67,2021-02-01,299,14275.0,36L,NHS SOUTH WEST LONDON
2956.11,2021-02-01,51,2015.0,42D,NHS NORTH YORKSHIRE
7491.69,2021-02-01,132,5703.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
9123.52,2021-02-01,189,5194.0,70F,NHS WEST SUSSEX
5029.82,2021-02-01,90,3149.0,71E,NHS LINCOLNSHIRE
10946.69,2021-02-01,218,7006.0,72Q,NHS SOUTH EAST LONDON
11049.41,2021-02-01,247,7303.0,78H,NHS NORTHAMPTONSHIRE
6897.57,2021-02-01,135,5001.0,84H,NHS COUNTY DURHAM
23116.23,2021-02-01,415,16099.0,91Q,NHS KENT AND MEDWAY
12712.2,2021-02-01,220,9897.0,92A,NHS SURREY HEARTLANDS
7293.13,2021-02-01,105,5273.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
13851.82,2021-02-01,225,9731.0,93C,NHS NORTH CENTRAL LONDON
5094.04,2021-02-01,114,3717.0,97R,NHS EAST SUSSEX
3322.72,2021-02-01,61,1803.0,99A,NHS LIVERPOOL
6538.69,2021-02-01,131,6256.0,99C,NHS NORTH TYNESIDE
3398.95,2021-02-01,66,2532.0,99E,NHS BASILDON AND BRENTWOOD
1508.17,2021-02-01,30,896.0,99F,NHS CASTLE POINT AND ROCHFORD
2970.34,2021-02-01,49,2948.0,99G,NHS SOUTHEND
11570.42,2021-02-01,232,7709.0,A3A8R,NHS NORTH EAST LONDON
6729.08,2021-02-01,157,4177.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
16887.01,2021-02-01,307,14479.0,D2P2L,NHS BLACK COUNTRY
8518.14,2021-02-01,215,5764.0,D4U1Y,NHS FRIMLEY
21171.03,2021-02-01,389,14836.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
7960.38,2021-02-01,139,8271.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
2975.72,2021-02-01,55,2266.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
11500.63,2021-02-01,192,8720.0,W2U3Z,NHS NORTH WEST LONDON
1612.25,2021-02-01,39,952.0,X2C4Y,NHS KIRKLEES
9753.01,2021-03-01,212,8452.0,00L,NHS NORTHUMBERLAND
3626.61,2021-03-01,78,2714.0,00N,NHS SOUTH TYNESIDE
3393.48,2021-03-01,75,3675.0,00P,NHS SUNDERLAND
1665.67,2021-03-01,34,993.0,00Q,NHS BLACKBURN WITH DARWEN
3199.09,2021-03-01,65,1821.0,00R,NHS BLACKPOOL
1754.44,2021-03-01,41,1710.0,00T,NHS BOLTON
3145.39,2021-03-01,63,2591.0,00V,NHS BURY
1422.1,2021-03-01,21,824.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2832.66,2021-03-01,45,2238.0,00Y,NHS OLDHAM
3448.81,2021-03-01,55,2072.0,01A,NHS EAST LANCASHIRE
1923.97,2021-03-01,37,1184.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2909.7,2021-03-01,53,2184.0,01E,NHS GREATER PRESTON
492.27,2021-03-01,10,308.0,01F,NHS HALTON
8939.68,2021-03-01,202,5611.0,01G,NHS SALFORD
2273.22,2021-03-01,40,1588.0,01H,NHS NORTH CUMBRIA
328.47,2021-03-01,5,168.0,01J,NHS KNOWSLEY
2907.16,2021-03-01,57,1698.0,01K,NHS MORECAMBE BAY
507.15,2021-03-01,9,280.0,01T,NHS SOUTH SEFTON
362.86,2021-03-01,7,196.0,01V,NHS SOUTHPORT AND FORMBY
7023.74,2021-03-01,122,4772.0,01W,NHS STOCKPORT
2577.69,2021-03-01,26,1705.0,01X,NHS ST HELENS
2755.92,2021-03-01,53,2175.0,01Y,NHS TAMESIDE AND GLOSSOP
2127.7,2021-03-01,41,1383.0,02A,NHS TRAFFORD
343.56,2021-03-01,5,196.0,02E,NHS WARRINGTON
2009.7,2021-03-01,22,1238.0,02G,NHS WEST LANCASHIRE
5912.47,2021-03-01,112,4123.0,02H,NHS WIGAN BOROUGH
1586.93,2021-03-01,30,938.0,02M,NHS FYLDE AND WYRE
3167.01,2021-03-01,65,2224.0,02P,NHS BARNSLEY
661.13,2021-03-01,12,608.0,02Q,NHS BASSETLAW
447.87,2021-03-01,10,266.0,02T,NHS CALDERDALE
1336.93,2021-03-01,24,1300.0,02X,NHS DONCASTER
1539.64,2021-03-01,26,1684.0,02Y,NHS EAST RIDING OF YORKSHIRE
1036.6,2021-03-01,20,1134.0,03F,NHS HULL
1209.22,2021-03-01,19,700.0,03H,NHS NORTH EAST LINCOLNSHIRE
417.88,2021-03-01,8,224.0,03K,NHS NORTH LINCOLNSHIRE
730.89,2021-03-01,12,448.0,03L,NHS ROTHERHAM
5759.19,2021-03-01,102,3829.0,03N,NHS SHEFFIELD
1211.39,2021-03-01,21,971.0,03Q,NHS VALE OF YORK
2600.72,2021-03-01,43,1512.0,03R,NHS WAKEFIELD
4171.53,2021-03-01,80,4176.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
4287.47,2021-03-01,73,4758.0,04C,NHS LEICESTER CITY
7573.78,2021-03-01,164,6872.0,04V,NHS WEST LEICESTERSHIRE
307.69,2021-03-01,6,168.0,04Y,NHS CANNOCK CHASE
552.36,2021-03-01,9,336.0,05D,NHS EAST STAFFORDSHIRE
790.82,2021-03-01,19,457.0,05G,NHS NORTH STAFFORDSHIRE
870.8,2021-03-01,14,504.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
314.01,2021-03-01,5,168.0,05V,NHS STAFFORD AND SURROUNDS
1118.97,2021-03-01,27,909.0,05W,NHS STOKE ON TRENT
8090.59,2021-03-01,148,4983.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
6694.13,2021-03-01,135,4741.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
3031.75,2021-03-01,52,1892.0,06L,NHS IPSWICH AND EAST SUFFOLK
3639.16,2021-03-01,59,2651.0,06N,NHS HERTS VALLEYS
2844.81,2021-03-01,56,1940.0,06Q,NHS MID ESSEX
4381.98,2021-03-01,86,3447.0,06T,NHS NORTH EAST ESSEX
2450.23,2021-03-01,48,1714.0,07G,NHS THURROCK
3747.96,2021-03-01,67,2377.0,07H,NHS WEST ESSEX
2632.78,2021-03-01,53,1540.0,07K,NHS WEST SUFFOLK
5246.23,2021-03-01,137,3832.0,09D,NHS BRIGHTON AND HOVE
5344.25,2021-03-01,88,4311.0,10Q,NHS OXFORDSHIRE
834.5,2021-03-01,18,470.0,10R,NHS PORTSMOUTH
15436.4,2021-03-01,272,10627.0,11J,NHS DORSET
6090.84,2021-03-01,133,5305.0,11M,NHS GLOUCESTERSHIRE
3902.12,2021-03-01,71,3306.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
4268.52,2021-03-01,72,3968.0,11X,NHS SOMERSET
12772.92,2021-03-01,290,7696.0,12F,NHS WIRRAL
3467.46,2021-03-01,83,2641.0,13T,NHS NEWCASTLE GATESHEAD
4449.91,2021-03-01,86,2810.0,14L,NHS MANCHESTER
4707.62,2021-03-01,83,3297.0,14Y,NHS BUCKINGHAMSHIRE
5826.75,2021-03-01,111,3400.0,15A,NHS BERKSHIRE WEST
8737.67,2021-03-01,146,6243.0,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
8561.95,2021-03-01,159,6633.0,15E,NHS BIRMINGHAM AND SOLIHULL
5361.17,2021-03-01,87,4063.0,15F,NHS LEEDS
12272.27,2021-03-01,226,9611.0,15M,NHS DERBY AND DERBYSHIRE
12016.55,2021-03-01,210,8530.0,15N,NHS DEVON
