financial_year,icb_name,identified_patients,total_items,nic_gbp
2020/2021,NHS BLACK COUNTRY INTEGRATED CARE BOARD,3250.0,36005.0,1399139.93
2020/2021,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",2805.0,24501.0,1083800.13
2020/2021,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",6332.0,54626.0,2197186.8800000004
2020/2021,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,2572.0,26348.0,1103398.5999999999
2020/2021,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,11195.0,93581.0,3778595.81
2020/2021,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1654.0,14224.0,542617.6799999999
2020/2021,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1856.0,19622.0,770686.52
2020/2021,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,4250.0,40659.0,1458133.6500000001
2020/2021,NHS DEVON INTEGRATED CARE BOARD,3518.0,36500.0,1387227.29
2020/2021,NHS DORSET INTEGRATED CARE BOARD,2601.0,23506.0,1060718.56
2020/2021,NHS FRIMLEY INTEGRATED CARE BOARD,2604.0,22720.0,994783.02
2020/2021,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1352.0,13762.0,496989.6
2020/2021,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,9106.0,88892.0,3680841.54
2020/2021,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,5244.0,45300.0,1969555.16
2020/2021,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,2971.0,29882.0,1088513.97
2020/2021,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,4368.0,38489.0,1521725.27
2020/2021,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,2613.0,25384.0,1017078.2899999999
2020/2021,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,9164.0,84998.0,3613771.25
2020/2021,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,5350.0,52454.0,2118836.68
2020/2021,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",4804.0,42932.0,1749209.2
2020/2021,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,3182.0,31152.0,1146614.39
2020/2021,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,5050.0,45864.0,1657818.33
2020/2021,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,4256.0,43095.0,1638336.6500000001
2020/2021,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,4542.0,35291.0,1762957.62
