ORG_CODE1,ORG_NAME1,ICB_NAME,FY_LABEL,mean_6wk_pct,n_months
01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,94.33333333333333,9
01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,83.25,4
01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,81.88888888888889,9
02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,98.5,4
02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,97.33333333333333,9
02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,88.5,4
02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,89.66666666666667,9
03W,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 03W","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2024/25,97.5,4
03W,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 03W","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.88888888888889,9
04C,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04C","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2024/25,97.25,4
04C,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04C","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.0,9
04V,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04V","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2024/25,98.5,4
04V,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04V","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.44444444444444,9
71E,NHS LINCOLNSHIRE ICB - 71E,NHS LINCOLNSHIRE ICB,2024/25,97.0,4
71E,NHS LINCOLNSHIRE ICB - 71E,NHS LINCOLNSHIRE ICB,2025/26,97.5,9
06Q,NHS MID AND SOUTH ESSEX ICB - 06Q,NHS MID AND SOUTH ESSEX ICB,2024/25,98.0,4
